group1,group2,meandiff,p-adj,lower,upper,reject
DETR,DETR_DANET,0.01,1.0,-0.0781,0.0981,False
DETR,MobiNet_CBAM,-0.028,0.9996,-0.1161,0.0601,False
DETR,MobiNet_DANET,-0.054,0.7498,-0.1421,0.0341,False
DETR,MobiNet_RCNN,-0.032,0.9979,-0.1201,0.0561,False
DETR,Proposed,0.06,0.5774,-0.0281,0.1481,False
DETR,ResNet101,0.002,1.0,-0.0861,0.0901,False
DETR,ResNet101_CBAM,0.008,1.0,-0.0801,0.0961,False
DETR,ResNet101_DANet,0.012,1.0,-0.0761,0.1001,False
DETR,ResNet152,0.002,1.0,-0.0861,0.0901,False
DETR,ResNet152_CBAM,0.008,1.0,-0.0801,0.0961,False
DETR,ResNet152_DANet,-0.002,1.0,-0.0901,0.0861,False
DETR,ResNet50,-0.006,1.0,-0.0941,0.0821,False
DETR,ResNet50_CBAM,0.008,1.0,-0.0801,0.0961,False
DETR,ResNet50_DANet,0.012,1.0,-0.0761,0.1001,False
DETR,ResNet50_RCNN,-0.008,1.0,-0.0961,0.0801,False
DETR,SSD_VGG16,-0.032,0.9979,-0.1201,0.0561,False
DETR,VGG_CBAM,-0.044,0.9417,-0.1321,0.0441,False
DETR,VGG_DANet,-0.056,0.695,-0.1441,0.0321,False
DETR_DANET,MobiNet_CBAM,-0.038,0.9853,-0.1261,0.0501,False
DETR_DANET,MobiNet_DANET,-0.064,0.4587,-0.1521,0.0241,False
DETR_DANET,MobiNet_RCNN,-0.042,0.9613,-0.1301,0.0461,False
DETR_DANET,Proposed,0.05,0.8452,-0.0381,0.1381,False
DETR_DANET,ResNet101,-0.008,1.0,-0.0961,0.0801,False
DETR_DANET,ResNet101_CBAM,-0.002,1.0,-0.0901,0.0861,False
DETR_DANET,ResNet101_DANet,0.002,1.0,-0.0861,0.0901,False
DETR_DANET,ResNet152,-0.008,1.0,-0.0961,0.0801,False
DETR_DANET,ResNet152_CBAM,-0.002,1.0,-0.0901,0.0861,False
DETR_DANET,ResNet152_DANet,-0.012,1.0,-0.1001,0.0761,False
DETR_DANET,ResNet50,-0.016,1.0,-0.1041,0.0721,False
DETR_DANET,ResNet50_CBAM,-0.002,1.0,-0.0901,0.0861,False
DETR_DANET,ResNet50_DANet,0.002,1.0,-0.0861,0.0901,False
DETR_DANET,ResNet50_RCNN,-0.018,1.0,-0.1061,0.0701,False
DETR_DANET,SSD_VGG16,-0.042,0.9613,-0.1301,0.0461,False
DETR_DANET,VGG_CBAM,-0.054,0.7498,-0.1421,0.0341,False
DETR_DANET,VGG_DANet,-0.066,0.4022,-0.1541,0.0221,False
MobiNet_CBAM,MobiNet_DANET,-0.026,0.9999,-0.1141,0.0621,False
MobiNet_CBAM,MobiNet_RCNN,-0.004,1.0,-0.0921,0.0841,False
MobiNet_CBAM,Proposed,0.088,0.0506,-0.0001,0.1761,False
MobiNet_CBAM,ResNet101,0.03,0.999,-0.0581,0.1181,False
MobiNet_CBAM,ResNet101_CBAM,0.036,0.9917,-0.0521,0.1241,False
MobiNet_CBAM,ResNet101_DANet,0.04,0.9755,-0.0481,0.1281,False
MobiNet_CBAM,ResNet152,0.03,0.999,-0.0581,0.1181,False
MobiNet_CBAM,ResNet152_CBAM,0.036,0.9917,-0.0521,0.1241,False
MobiNet_CBAM,ResNet152_DANet,0.026,0.9999,-0.0621,0.1141,False
MobiNet_CBAM,ResNet50,0.022,1.0,-0.0661,0.1101,False
MobiNet_CBAM,ResNet50_CBAM,0.036,0.9917,-0.0521,0.1241,False
MobiNet_CBAM,ResNet50_DANet,0.04,0.9755,-0.0481,0.1281,False
MobiNet_CBAM,ResNet50_RCNN,0.02,1.0,-0.0681,0.1081,False
MobiNet_CBAM,SSD_VGG16,-0.004,1.0,-0.0921,0.0841,False
MobiNet_CBAM,VGG_CBAM,-0.016,1.0,-0.1041,0.0721,False
MobiNet_CBAM,VGG_DANet,-0.028,0.9996,-0.1161,0.0601,False
MobiNet_DANET,MobiNet_RCNN,0.022,1.0,-0.0661,0.1101,False
MobiNet_DANET,Proposed,0.114,0.0015,0.0259,0.2021,True
MobiNet_DANET,ResNet101,0.056,0.695,-0.0321,0.1441,False
MobiNet_DANET,ResNet101_CBAM,0.062,0.5175,-0.0261,0.1501,False
MobiNet_DANET,ResNet101_DANet,0.066,0.4022,-0.0221,0.1541,False
MobiNet_DANET,ResNet152,0.056,0.695,-0.0321,0.1441,False
MobiNet_DANET,ResNet152_CBAM,0.062,0.5175,-0.0261,0.1501,False
MobiNet_DANET,ResNet152_DANet,0.052,0.8002,-0.0361,0.1401,False
MobiNet_DANET,ResNet50,0.048,0.8839,-0.0401,0.1361,False
MobiNet_DANET,ResNet50_CBAM,0.062,0.5175,-0.0261,0.1501,False
MobiNet_DANET,ResNet50_DANet,0.066,0.4022,-0.0221,0.1541,False
MobiNet_DANET,ResNet50_RCNN,0.046,0.916,-0.0421,0.1341,False
MobiNet_DANET,SSD_VGG16,0.022,1.0,-0.0661,0.1101,False
MobiNet_DANET,VGG_CBAM,0.01,1.0,-0.0781,0.0981,False
MobiNet_DANET,VGG_DANet,-0.002,1.0,-0.0901,0.0861,False
MobiNet_RCNN,Proposed,0.092,0.0314,0.0039,0.1801,True
MobiNet_RCNN,ResNet101,0.034,0.9956,-0.0541,0.1221,False
MobiNet_RCNN,ResNet101_CBAM,0.04,0.9755,-0.0481,0.1281,False
MobiNet_RCNN,ResNet101_DANet,0.044,0.9417,-0.0441,0.1321,False
MobiNet_RCNN,ResNet152,0.034,0.9956,-0.0541,0.1221,False
MobiNet_RCNN,ResNet152_CBAM,0.04,0.9755,-0.0481,0.1281,False
MobiNet_RCNN,ResNet152_DANet,0.03,0.999,-0.0581,0.1181,False
MobiNet_RCNN,ResNet50,0.026,0.9999,-0.0621,0.1141,False
MobiNet_RCNN,ResNet50_CBAM,0.04,0.9755,-0.0481,0.1281,False
MobiNet_RCNN,ResNet50_DANet,0.044,0.9417,-0.0441,0.1321,False
MobiNet_RCNN,ResNet50_RCNN,0.024,1.0,-0.0641,0.1121,False
MobiNet_RCNN,SSD_VGG16,0.0,1.0,-0.0881,0.0881,False
MobiNet_RCNN,VGG_CBAM,-0.012,1.0,-0.1001,0.0761,False
MobiNet_RCNN,VGG_DANet,-0.024,1.0,-0.1121,0.0641,False
Proposed,ResNet101,-0.058,0.637,-0.1461,0.0301,False
Proposed,ResNet101_CBAM,-0.052,0.8002,-0.1401,0.0361,False
Proposed,ResNet101_DANet,-0.048,0.8839,-0.1361,0.0401,False
Proposed,ResNet152,-0.058,0.637,-0.1461,0.0301,False
Proposed,ResNet152_CBAM,-0.052,0.8002,-0.1401,0.0361,False
Proposed,ResNet152_DANet,-0.062,0.5175,-0.1501,0.0261,False
Proposed,ResNet50,-0.066,0.4022,-0.1541,0.0221,False
Proposed,ResNet50_CBAM,-0.052,0.8002,-0.1401,0.0361,False
Proposed,ResNet50_DANet,-0.048,0.8839,-0.1361,0.0401,False
Proposed,ResNet50_RCNN,-0.068,0.3489,-0.1561,0.0201,False
Proposed,SSD_VGG16,-0.092,0.0314,-0.1801,-0.0039,True
Proposed,VGG_CBAM,-0.104,0.0065,-0.1921,-0.0159,True
Proposed,VGG_DANet,-0.116,0.0011,-0.2041,-0.0279,True
ResNet101,ResNet101_CBAM,0.006,1.0,-0.0821,0.0941,False
ResNet101,ResNet101_DANet,0.01,1.0,-0.0781,0.0981,False
ResNet101,ResNet152,0.0,1.0,-0.0881,0.0881,False
ResNet101,ResNet152_CBAM,0.006,1.0,-0.0821,0.0941,False
ResNet101,ResNet152_DANet,-0.004,1.0,-0.0921,0.0841,False
ResNet101,ResNet50,-0.008,1.0,-0.0961,0.0801,False
ResNet101,ResNet50_CBAM,0.006,1.0,-0.0821,0.0941,False
ResNet101,ResNet50_DANet,0.01,1.0,-0.0781,0.0981,False
ResNet101,ResNet50_RCNN,-0.01,1.0,-0.0981,0.0781,False
ResNet101,SSD_VGG16,-0.034,0.9956,-0.1221,0.0541,False
ResNet101,VGG_CBAM,-0.046,0.916,-0.1341,0.0421,False
ResNet101,VGG_DANet,-0.058,0.637,-0.1461,0.0301,False
ResNet101_CBAM,ResNet101_DANet,0.004,1.0,-0.0841,0.0921,False
ResNet101_CBAM,ResNet152,-0.006,1.0,-0.0941,0.0821,False
ResNet101_CBAM,ResNet152_CBAM,0.0,1.0,-0.0881,0.0881,False
ResNet101_CBAM,ResNet152_DANet,-0.01,1.0,-0.0981,0.0781,False
ResNet101_CBAM,ResNet50,-0.014,1.0,-0.1021,0.0741,False
ResNet101_CBAM,ResNet50_CBAM,0.0,1.0,-0.0881,0.0881,False
ResNet101_CBAM,ResNet50_DANet,0.004,1.0,-0.0841,0.0921,False
ResNet101_CBAM,ResNet50_RCNN,-0.016,1.0,-0.1041,0.0721,False
ResNet101_CBAM,SSD_VGG16,-0.04,0.9755,-0.1281,0.0481,False
ResNet101_CBAM,VGG_CBAM,-0.052,0.8002,-0.1401,0.0361,False
ResNet101_CBAM,VGG_DANet,-0.064,0.4587,-0.1521,0.0241,False
ResNet101_DANet,ResNet152,-0.01,1.0,-0.0981,0.0781,False
ResNet101_DANet,ResNet152_CBAM,-0.004,1.0,-0.0921,0.0841,False
ResNet101_DANet,ResNet152_DANet,-0.014,1.0,-0.1021,0.0741,False
ResNet101_DANet,ResNet50,-0.018,1.0,-0.1061,0.0701,False
ResNet101_DANet,ResNet50_CBAM,-0.004,1.0,-0.0921,0.0841,False
ResNet101_DANet,ResNet50_DANet,0.0,1.0,-0.0881,0.0881,False
ResNet101_DANet,ResNet50_RCNN,-0.02,1.0,-0.1081,0.0681,False
ResNet101_DANet,SSD_VGG16,-0.044,0.9417,-0.1321,0.0441,False
ResNet101_DANet,VGG_CBAM,-0.056,0.695,-0.1441,0.0321,False
ResNet101_DANet,VGG_DANet,-0.068,0.3489,-0.1561,0.0201,False
ResNet152,ResNet152_CBAM,0.006,1.0,-0.0821,0.0941,False
ResNet152,ResNet152_DANet,-0.004,1.0,-0.0921,0.0841,False
ResNet152,ResNet50,-0.008,1.0,-0.0961,0.0801,False
ResNet152,ResNet50_CBAM,0.006,1.0,-0.0821,0.0941,False
ResNet152,ResNet50_DANet,0.01,1.0,-0.0781,0.0981,False
ResNet152,ResNet50_RCNN,-0.01,1.0,-0.0981,0.0781,False
ResNet152,SSD_VGG16,-0.034,0.9956,-0.1221,0.0541,False
ResNet152,VGG_CBAM,-0.046,0.916,-0.1341,0.0421,False
ResNet152,VGG_DANet,-0.058,0.637,-0.1461,0.0301,False
ResNet152_CBAM,ResNet152_DANet,-0.01,1.0,-0.0981,0.0781,False
ResNet152_CBAM,ResNet50,-0.014,1.0,-0.1021,0.0741,False
ResNet152_CBAM,ResNet50_CBAM,0.0,1.0,-0.0881,0.0881,False
ResNet152_CBAM,ResNet50_DANet,0.004,1.0,-0.0841,0.0921,False
ResNet152_CBAM,ResNet50_RCNN,-0.016,1.0,-0.1041,0.0721,False
ResNet152_CBAM,SSD_VGG16,-0.04,0.9755,-0.1281,0.0481,False
ResNet152_CBAM,VGG_CBAM,-0.052,0.8002,-0.1401,0.0361,False
ResNet152_CBAM,VGG_DANet,-0.064,0.4587,-0.1521,0.0241,False
ResNet152_DANet,ResNet50,-0.004,1.0,-0.0921,0.0841,False
ResNet152_DANet,ResNet50_CBAM,0.01,1.0,-0.0781,0.0981,False
ResNet152_DANet,ResNet50_DANet,0.014,1.0,-0.0741,0.1021,False
ResNet152_DANet,ResNet50_RCNN,-0.006,1.0,-0.0941,0.0821,False
ResNet152_DANet,SSD_VGG16,-0.03,0.999,-0.1181,0.0581,False
ResNet152_DANet,VGG_CBAM,-0.042,0.9613,-0.1301,0.0461,False
ResNet152_DANet,VGG_DANet,-0.054,0.7498,-0.1421,0.0341,False
ResNet50,ResNet50_CBAM,0.014,1.0,-0.0741,0.1021,False
ResNet50,ResNet50_DANet,0.018,1.0,-0.0701,0.1061,False
ResNet50,ResNet50_RCNN,-0.002,1.0,-0.0901,0.0861,False
ResNet50,SSD_VGG16,-0.026,0.9999,-0.1141,0.0621,False
ResNet50,VGG_CBAM,-0.038,0.9853,-0.1261,0.0501,False
ResNet50,VGG_DANet,-0.05,0.8452,-0.1381,0.0381,False
ResNet50_CBAM,ResNet50_DANet,0.004,1.0,-0.0841,0.0921,False
ResNet50_CBAM,ResNet50_RCNN,-0.016,1.0,-0.1041,0.0721,False
ResNet50_CBAM,SSD_VGG16,-0.04,0.9755,-0.1281,0.0481,False
ResNet50_CBAM,VGG_CBAM,-0.052,0.8002,-0.1401,0.0361,False
ResNet50_CBAM,VGG_DANet,-0.064,0.4587,-0.1521,0.0241,False
ResNet50_DANet,ResNet50_RCNN,-0.02,1.0,-0.1081,0.0681,False
ResNet50_DANet,SSD_VGG16,-0.044,0.9417,-0.1321,0.0441,False
ResNet50_DANet,VGG_CBAM,-0.056,0.695,-0.1441,0.0321,False
ResNet50_DANet,VGG_DANet,-0.068,0.3489,-0.1561,0.0201,False
ResNet50_RCNN,SSD_VGG16,-0.024,1.0,-0.1121,0.0641,False
ResNet50_RCNN,VGG_CBAM,-0.036,0.9917,-0.1241,0.0521,False
ResNet50_RCNN,VGG_DANet,-0.048,0.8839,-0.1361,0.0401,False
SSD_VGG16,VGG_CBAM,-0.012,1.0,-0.1001,0.0761,False
SSD_VGG16,VGG_DANet,-0.024,1.0,-0.1121,0.0641,False
VGG_CBAM,VGG_DANet,-0.012,1.0,-0.1001,0.0761,False
